asset_id,filename,category,final_score,stage3_delta,source_path,media_type,route_class,route,routing_score,current_quality,post_edit_potential,expected_gain,recoverability,aesthetic_potential,stock_potential,portfolio_potential,legal_readiness,uniqueness,confidence,genre,concepts,description,unrecoverable,partially_fixable,fixable,edit_recipe,marketplaces,legal_warnings,cluster_id,cluster_size,best_in_cluster,megapixels,duration,provenance,proposed_action,completed_action,status,error
358b10c03c692506,P1019368.JPG,GOOD_STOCK,59,-8,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019368.JPG,photo,stock_strong,commercial,71,78,79,1,78,36,91,41,100,100,87,landscape,,Lift foreground shadows and crop distracting roof edge,,,color_cast: channel means 110/122/134,"Correct white balance: neutralise the cast, damped | Straighten: rotate 7.2° anticlockwise | Do not apply aggressive sharpening: halos cost more than they buy",123RF; Adobe Stock; Alamy; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,,P1019368.JPG,1,True,24.0,0.0,camera_original,keep_in_place,,ok,
31695f85aaae438e,P1019369.JPG,GOOD_STOCK,45,0,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019369.JPG,photo,duplicate_candidate,commercial,40,17,47,30,67,17,68,17,100,3,82,landscape,,Recover foreground cautiously and add local mountain contrast,,some_crushed_shadows: 22.9%; weaker_duplicate: a sharper frame exists in cluster P1019370.JPG (quality 11 points higher),underexposed: mean luma 70; color_cast: channel means 61/71/88,"Adjust exposure: +0.8 EV | Correct white balance: neutralise the cast, damped | Recover highlights and lift shadows: moderate | Crop: 16:9 crop -- keep 84% of the frame (x 0-512, y 0-288 of the working image) | Do not apply aggressive sharpening: halos cost more than they buy",123RF; Adobe Stock; Alamy; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,,P1019370.JPG,2,False,24.0,0.0,camera_original,compare_by_hand,,ok,
c278d9ef8d9310aa,P1019370.JPG,GOOD_STOCK,50,1,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019370.JPG,photo,stock_strong,commercial,54,28,55,27,67,20,78,25,100,80,82,landscape,,Open shadows and crop the dark lower foreground,,some_crushed_shadows: 18.9%,color_cast: channel means 71/82/99,"Adjust exposure: +0.6 EV | Correct white balance: neutralise the cast, damped | Recover highlights and lift shadows: moderate | Add contrast: restrained S-curve | Straighten: rotate 2.8° clockwise | Do not apply aggressive sharpening: halos cost more than they buy",123RF; Adobe Stock; Alamy; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,,P1019370.JPG,2,True,24.0,0.0,camera_original,keep_in_place,,ok,
4d6887b4fd8c54e0,P1019371.JPG,GOOD_STOCK,51,7,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019371.JPG,photo,stock_standard,commercial,54,22,49,27,67,31,60,32,100,100,82,landscape,,Crop lower darkness while preserving generous vertical sky,,some_crushed_shadows: 18.9%,color_cast: channel means 67/78/97,"Adjust exposure: +0.6 EV | Correct white balance: neutralise the cast, damped | Recover highlights and lift shadows: moderate | Add contrast: restrained S-curve | Straighten: rotate 6.2° anticlockwise | Do not apply aggressive sharpening: halos cost more than they buy",123RF; Adobe Stock; Alamy; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,,P1019371.JPG,1,True,24.0,0.0,camera_original,keep_in_place,,ok,
e1a203f8aa1a11f0,P1019372.JPG,GOOD_STOCK,50,7,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019372.JPG,photo,stock_standard,commercial,53,24,50,26,67,24,64,27,100,100,82,landscape,,Lift mountain detail and trim featureless foreground,,some_crushed_shadows: 18.2%,color_cast: channel means 68/78/98,"Adjust exposure: +0.6 EV | Correct white balance: neutralise the cast, damped | Recover highlights and lift shadows: moderate | Add contrast: restrained S-curve | Do not apply aggressive sharpening: halos cost more than they buy",123RF; Adobe Stock; Alamy; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,,P1019372.JPG,1,True,24.0,0.0,camera_original,keep_in_place,,ok,
302c709f1c829047,P1019373.JPG,GOOD_STOCK,63,1,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019373.JPG,photo,stock_standard,commercial,69,53,73,20,78,50,64,54,100,100,87,landscape,,Brighten foreground and clarify mountain through cloud,,,underexposed: mean luma 68; color_cast: channel means 61/69/82,"Adjust exposure: +0.8 EV | Correct white balance: neutralise the cast, damped | Recover highlights and lift shadows: moderate | Crop: 16:9 crop -- keep 84% of the frame (x 0-512, y 0-288 of the working image) | Do not apply aggressive sharpening: halos cost more than they buy",123RF; Adobe Stock; Alamy; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,,P1019373.JPG,1,True,24.0,0.0,camera_original,keep_in_place,,ok,
7d3272235b70fb32,P1019376.JPG,GOOD_PERSONAL,57,-20,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019376.JPG,photo,review,editorial,65,75,83,8,67,72,27,72,15,79,87,reportage,,Recover sky and straighten sign perspective,,some_clipped_highlights: 6.7%,mild_noise: sigma 4.7,"Correct white balance: neutralise the cast, damped | Recover highlights and lift shadows: moderate | Add contrast: restrained S-curve | Apply luminance denoise: restrained | Do not apply aggressive sharpening: halos cost more than they buy",Alamy; 123RF; Adobe Stock; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,Model release required before commercial licensing; Readable trademark present: editorial only unless cleared,P1019377.JPG,2,False,24.0,0.0,camera_original,hold_for_review,,ok,
614aad72d812a4f6,P1019377.JPG,GOOD_PERSONAL,57,-22,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019377.JPG,photo,review,editorial,64,75,83,8,67,69,28,68,15,79,87,reportage,,Correct perspective and retain heritage buildings behind sign,,some_clipped_highlights: 6.7%,mild_noise: sigma 4.8,"Correct white balance: neutralise the cast, damped | Recover highlights and lift shadows: moderate | Add contrast: restrained S-curve | Straighten: rotate 0.8° anticlockwise | Apply luminance denoise: restrained | Do not apply aggressive sharpening: halos cost more than they buy",Alamy; 123RF; Adobe Stock; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,Model release required before commercial licensing; Readable trademark present: editorial only unless cleared,P1019377.JPG,2,True,24.0,0.0,camera_original,hold_for_review,,ok,
5e93b41486ab9851,P1019378.JPG,GOOD_PERSONAL,55,-15,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019378.JPG,photo,review,editorial,61,69,78,9,67,60,24,61,15,100,87,reportage,,Crop right wall and recover bright overcast sky,,some_clipped_highlights: 7.9%,mild_noise: sigma 3.4,"Correct white balance: neutralise the cast, damped | Recover highlights and lift shadows: moderate | Add contrast: restrained S-curve | Apply luminance denoise: restrained | Do not apply aggressive sharpening: halos cost more than they buy",Alamy; 123RF; Adobe Stock; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,Model release required before commercial licensing; Readable trademark present: editorial only unless cleared,P1019378.JPG,1,True,24.0,0.0,camera_original,hold_for_review,,ok,
5f810c2f87c72a6e,P1019379.JPG,GOOD_PERSONAL,61,-9,/Users/vitaliikarasov/Desktop/photo-ai-toolkit/photos/P1019379.JPG,photo,flagship,editorial,72,71,77,6,78,82,34,85,55,100,92,street,,Lift subject exposure and crop loosely around profile,,,,"Adjust exposure: +0.3 EV | Correct white balance: neutralise the cast, damped | Recover highlights and lift shadows: moderate | Add contrast: restrained S-curve | Straighten: rotate 1.8° clockwise | Do not apply aggressive sharpening: halos cost more than they buy",Alamy; 123RF; Adobe Stock; Depositphotos; Dreamstime; Pond5; Shutterstock; Getty Images / iStock,Model release required before commercial licensing,P1019379.JPG,1,True,24.0,0.0,camera_original,keep_in_place,,ok,
